fila,subfila,columna,subcolumna,valor
Aragón,,2007,IMPORT,"9047685,05"
"Asturias, Principado de",,2007,IMPORT,"4572955,13"
"Balears, Illes",,2007,IMPORT,"2070246,77"
Canarias,,2007,IMPORT,"5324701,97"
Cantabria,,2007,IMPORT,"2728942,24"
Castilla y León,,2007,IMPORT,"9709413,68"
Castilla-La Mancha,,2007,IMPORT,"8147603,41"
Cataluña,,2007,IMPORT,"80214939,06"
Comunitat Valenciana,,2007,IMPORT,"23498945,67"
Extremadura,,2007,IMPORT,"990759,74"
Galicia,,2007,IMPORT,"16150599,03"
"Madrid, Comunidad de",,2007,IMPORT,"62353700,32"
"Murcia, Región de",,2007,IMPORT,"8924097,28"
"Navarra, Comunidad Foral de",,2007,IMPORT,"5275206,92"
País Vasco,,2007,IMPORT,"18900417,71"
"Rioja, La",,2007,IMPORT,"927310,32"
Ceuta,,2007,IMPORT,"258449,71"
Melilla,,2007,IMPORT,"183495,78"
No determinado,,2007,IMPORT,"1751834,57"
Andalucía,,2008,EXPORT,"16832877,93"
Aragón,,2008,EXPORT,"8482588,51"
"Asturias, Principado de",,2008,EXPORT,"3177731,60"
"Balears, Illes",,2008,EXPORT,"1476641,00"
Canarias,,2008,EXPORT,"2215120,04"
Cantabria,,2008,EXPORT,"2403823,95"
Castilla y León,,2008,EXPORT,"9621666,37"
Castilla-La Mancha,,2008,EXPORT,"3242701,56"
Cataluña,,2008,EXPORT,"50514433,42"
Comunitat Valenciana,,2008,EXPORT,"19293282,50"
Extremadura,,2008,EXPORT,"1251672,20"
Galicia,,2008,EXPORT,"15739688,58"
"Madrid, Comunidad de",,2008,EXPORT,"21853779,02"
"Murcia, Región de",,2008,EXPORT,"4588273,34"
"Navarra, Comunidad Foral de",,2008,EXPORT,"6378934,36"
País Vasco,,2008,EXPORT,"20279233,70"
"Rioja, La",,2008,EXPORT,"1255768,40"
Ceuta,,2008,EXPORT,"2572,19"
Melilla,,2008,EXPORT,"9946,79"
No determinado,,2008,EXPORT,"607115,96"
Andalucía,,2008,IMPORT,"27371277,78"
Aragón,,2008,IMPORT,"8054050,11"
"Asturias, Principado de",,2008,IMPORT,"4760074,11"
"Balears, Illes",,2008,IMPORT,"1850192,69"
Canarias,,2008,IMPORT,"5506745,53"
Cantabria,,2008,IMPORT,"2640295,21"
Castilla y León,,2008,IMPORT,"9016951,93"
Castilla-La Mancha,,2008,IMPORT,"6666586,36"
Cataluña,,2008,IMPORT,"77126946,18"
Comunitat Valenciana,,2008,IMPORT,"23372376,05"
Extremadura,,2008,IMPORT,"1357555,48"
Galicia,,2008,IMPORT,"15496199,04"
"Madrid, Comunidad de",,2008,IMPORT,"61775340,94"
"Murcia, Región de",,2008,IMPORT,"10287285,12"
"Navarra, Comunidad Foral de",,2008,IMPORT,"4908592,58"
País Vasco,,2008,IMPORT,"20117426,42"
"Rioja, La",,2008,IMPORT,"924435,93"
Ceuta,,2008,IMPORT,"296422,89"
Melilla,,2008,IMPORT,"155310,54"
No determinado,,2008,IMPORT,"1703699,47"
Andalucía,,2009,EXPORT,"14477561,07"
Aragón,,2009,EXPORT,"7100359,34"
"Asturias, Principado de",,2009,EXPORT,"2573414,53"
"Balears, Illes",,2009,EXPORT,"1193436,79"
Canarias,,2009,EXPORT,"1542721,36"
Cantabria,,2009,EXPORT,"1832383,72"
Castilla y León,,2009,EXPORT,"9360193,39"
Castilla-La Mancha,,2009,EXPORT,"2953670,38"
Cataluña,,2009,EXPORT,"41460903,86"
Comunitat Valenciana,,2009,EXPORT,"16962166,63"
Extremadura,,2009,EXPORT,"1171390,89"
Galicia,,2009,EXPORT,"13957317,87"
"Madrid, Comunidad de",,2009,EXPORT,"18997387,18"
"Murcia, Región de",,2009,EXPORT,"4367759,71"
"Navarra, Comunidad Foral de",,2009,EXPORT,"5477912,47"
País Vasco,,2009,EXPORT,"14942237,36"
"Rioja, La",,2009,EXPORT,"1126054,42"
Ceuta,,2009,EXPORT,"174,53"
Melilla,,2009,EXPORT,"6785,10"
No determinado,,2009,EXPORT,"385719,56"
Andalucía,,2009,IMPORT,"18073077,19"
Aragón,,2009,IMPORT,"6136124,90"
"Asturias, Principado de",,2009,IMPORT,"2864645,72"
"Balears, Illes",,2009,IMPORT,"1155977,58"
Canarias,,2009,IMPORT,"3674428,23"
Cantabria,,2009,IMPORT,"1510951,68"
Castilla y León,,2009,IMPORT,"7860785,04"
Castilla-La Mancha,,2009,IMPORT,"4748552,50"
Cataluña,,2009,IMPORT,"57456240,83"
Comunitat Valenciana,,2009,IMPORT,"16253905,29"
Extremadura,,2009,IMPORT,"919985,34"
Galicia,,2009,IMPORT,"13164248,79"
"Madrid, Comunidad de",,2009,IMPORT,"47370128,81"
"Murcia, Región de",,2009,IMPORT,"6433265,77"
"Navarra, Comunidad Foral de",,2009,IMPORT,"3569925,82"
País Vasco,,2009,IMPORT,"12294151,63"
"Rioja, La",,2009,IMPORT,"791140,66"
Ceuta,,2009,IMPORT,"234121,61"
Melilla,,2009,IMPORT,"140280,07"
No determinado,,2009,IMPORT,"1464237,07"
Andalucía,,2010,EXPORT,"18772152,33"
Aragón,,2010,EXPORT,"8434828,11"
"Asturias, Principado de",,2010,EXPORT,"3368750,83"
"Balears, Illes",,2010,EXPORT,"874199,46"
Canarias,,2010,EXPORT,"1970306,18"
Cantabria,,2010,EXPORT,"2283569,80"
Castilla y León,,2010,EXPORT,"10400596,40"
Castilla-La Mancha,,2010,EXPORT,"3373173,28"
Cataluña,,2010,EXPORT,"48866294,55"
Comunitat Valenciana,,2010,EXPORT,"18732322,47"
Extremadura,,2010,EXPORT,"1256819,36"
Galicia,,2010,EXPORT,"14911917,91"
"Madrid, Comunidad de",,2010,EXPORT,"21331855,95"
"Murcia, Región de",,2010,EXPORT,"4994919,86"
"Navarra, Comunidad Foral de",,2010,EXPORT,"7402217,95"
País Vasco,,2010,EXPORT,"17874520,10"
"Rioja, La",,2010,EXPORT,"1299930,30"
Ceuta,,2010,EXPORT,"78,03"
Melilla,,2010,EXPORT,"3581,14"
No determinado,,2010,EXPORT,"628036,54"
Andalucía,,2010,IMPORT,"23266989,89"
Aragón,,2010,IMPORT,"7089854,92"
"Asturias, Principado de",,2010,IMPORT,"3713801,93"
"Balears, Illes",,2010,IMPORT,"1565089,96"
Canarias,,2010,IMPORT,"4712742,08"
Cantabria,,2010,IMPORT,"1957805,90"
Castilla y León,,2010,IMPORT,"9017293,43"
Castilla-La Mancha,,2010,IMPORT,"5201416,66"
Cataluña,,2010,IMPORT,"67296194,92"
Comunitat Valenciana,,2010,IMPORT,"19461463,70"
Extremadura,,2010,IMPORT,"976530,89"
Galicia,,2010,IMPORT,"13699696,18"
"Madrid, Comunidad de",,2010,IMPORT,"51413383,93"
"Murcia, Región de",,2010,IMPORT,"7542306,80"
"Navarra, Comunidad Foral de",,2010,IMPORT,"4493313,93"
País Vasco,,2010,IMPORT,"15430269,64"
"Rioja, La",,2010,IMPORT,"981365,62"
Ceuta,,2010,IMPORT,"271453,49"
Melilla,,2010,IMPORT,"124673,41"
No determinado,,2010,IMPORT,"1840202,81"
Andalucía,,2011,EXPORT,"22961436,08"
Aragón,,2011,EXPORT,"9208693,47"
"Asturias, Principado de",,2011,EXPORT,"3767381,07"
"Balears, Illes",,2011,EXPORT,"863979,61"
Canarias,,2011,EXPORT,"2460967,41"
Cantabria,,2011,EXPORT,"2678550,72"
Castilla y León,,2011,EXPORT,"12018448,98"
Castilla-La Mancha,,2011,EXPORT,"3989967,54"
Cataluña,,2011,EXPORT,"54954921,03"
Comunitat Valenciana,,2011,EXPORT,"20243283,03"
Extremadura,,2011,EXPORT,"1464296,02"
Galicia,,2011,EXPORT,"17146274,55"
"Madrid, Comunidad de",,2011,EXPORT,"26722324,25"
"Murcia, Región de",,2011,EXPORT,"5470124,65"
"Navarra, Comunidad Foral de",,2011,EXPORT,"8302314,59"
País Vasco,,2011,EXPORT,"20487285,27"
"Rioja, La",,2011,EXPORT,"1489899,10"
Ceuta,,2011,EXPORT,"333,83"
Melilla,,2011,EXPORT,"3969,83"
No determinado,,2011,EXPORT,"995919,67"
Andalucía,,2011,IMPORT,"29375998,39"
Aragón,,2011,IMPORT,"7988288,93"
"Asturias, Principado de",,2011,IMPORT,"4193201,94"
"Balears, Illes",,2011,IMPORT,"1504534,73"
Canarias,,2011,IMPORT,"4731329,66"
Cantabria,,2011,IMPORT,"1990039,92"
Castilla y León,,2011,IMPORT,"10352938,14"
Castilla-La Mancha,,2011,IMPORT,"5124881,26"
Cataluña,,2011,IMPORT,"71536729,42"
Comunitat Valenciana,,2011,IMPORT,"20636488,12"
Extremadura,,2011,IMPORT,"1016001,74"
Galicia,,2011,IMPORT,"14332308,99"
"Madrid, Comunidad de",,2011,IMPORT,"53390275,64"
"Murcia, Región de",,2011,IMPORT,"10301192,65"
"Navarra, Comunidad Foral de",,2011,IMPORT,"5360484,71"
País Vasco,,2011,IMPORT,"17308692,08"
"Rioja, La",,2011,IMPORT,"1121471,68"
Ceuta,,2011,IMPORT,"389684,56"
Melilla,,2011,IMPORT,"160072,00"
No determinado,,2011,IMPORT,"2326126,11"
Andalucía,,2012,EXPORT,"25239832,37"
Aragón,,2012,EXPORT,"8791926,12"
"Asturias, Principado de",,2012,EXPORT,"3837546,12"
"Balears, Illes",,2012,EXPORT,"1016215,75"
Canarias,,2012,EXPORT,"2564839,07"
Cantabria,,2012,EXPORT,"2713359,91"
Castilla y León,,2012,EXPORT,"11705715,24"
Castilla-La Mancha,,2012,EXPORT,"4336152,67"
Cataluña,,2012,EXPORT,"58853248,44"
Comunitat Valenciana,,2012,EXPORT,"20941195,74"
Extremadura,,2012,EXPORT,"1667114,34"
Galicia,,2012,EXPORT,"16662801,52"
"Madrid, Comunidad de",,2012,EXPORT,"27941684,59"
"Murcia, Región de",,2012,EXPORT,"8956223,44"
"Navarra, Comunidad Foral de",,2012,EXPORT,"7235764,41"
País Vasco,,2012,EXPORT,"20970808,93"
"Rioja, La",,2012,EXPORT,"1474745,68"
Ceuta,,2012,EXPORT,"2760,74"
Melilla,,2012,EXPORT,"77753,99"
No determinado,,2012,EXPORT,"1124904,92"
Andalucía,,2012,IMPORT,"31536795,72"
Aragón,,2012,IMPORT,"6824025,81"
"Asturias, Principado de",,2012,IMPORT,"3868118,98"
"Balears, Illes",,2012,IMPORT,"1415289,18"
Canarias,,2012,IMPORT,"4788053,00"
Cantabria,,2012,IMPORT,"1754468,90"
Castilla y León,,2012,IMPORT,"10875994,52"
Castilla-La Mancha,,2012,IMPORT,"4897559,00"
Cataluña,,2012,IMPORT,"69770083,51"
Comunitat Valenciana,,2012,IMPORT,"19309424,78"
Extremadura,,2012,IMPORT,"943388,89"
Galicia,,2012,IMPORT,"15008875,89"
"Madrid, Comunidad de",,2012,IMPORT,"50338638,62"
"Murcia, Región de",,2012,IMPORT,"12700044,42"
"Navarra, Comunidad Foral de",,2012,IMPORT,"4323873,79"
País Vasco,,2012,IMPORT,"15822249,67"
"Rioja, La",,2012,IMPORT,"995293,20"
Ceuta,,2012,IMPORT,"494901,61"
Melilla,,2012,IMPORT,"225688,99"
No determinado,,2012,IMPORT,"2052862,54"
Andalucía,,2013,EXPORT,"26124613,13"
Aragón,,2013,EXPORT,"8866919,87"
"Asturias, Principado de",,2013,EXPORT,"3843552,12"
"Balears, Illes",,2013,EXPORT,"834048,03"
Canarias,,2013,EXPORT,"2619270,99"
Cantabria,,2013,EXPORT,"2457512,98"
Castilla y León,,2013,EXPORT,"12270967,13"
Castilla-La Mancha,,2013,EXPORT,"4866348,03"
Cataluña,,2013,EXPORT,"58957199,43"
Comunitat Valenciana,,2013,EXPORT,"23608792,09"
Extremadura,,2013,EXPORT,"1667551,59"
Galicia,,2013,EXPORT,"18758159,61"
"Madrid, Comunidad de",,2013,EXPORT,"30771354,83"
"Murcia, Región de",,2013,EXPORT,"9353003,70"
"Navarra, Comunidad Foral de",,2013,EXPORT,"7447174,86"
País Vasco,,2013,EXPORT,"20631306,90"
"Rioja, La",,2013,EXPORT,"1510752,63"
Ceuta,,2013,EXPORT,"3079,18"
Melilla,,2013,EXPORT,"34228,34"
No determinado,,2013,EXPORT,"1188233,59"
Andalucía,,2013,IMPORT,"30625796,07"
Aragón,,2013,IMPORT,"6965695,10"
"Asturias, Principado de",,2013,IMPORT,"3440649,85"
"Balears, Illes",,2013,IMPORT,"1383519,50"
Canarias,,2013,IMPORT,"4362912,23"
Cantabria,,2013,IMPORT,"1742772,54"
Castilla y León,,2013,IMPORT,"10770159,09"
Castilla-La Mancha,,2013,IMPORT,"5717273,30"
Cataluña,,2013,IMPORT,"67380841,91"
Comunitat Valenciana,,2013,IMPORT,"20837576,29"
Extremadura,,2013,IMPORT,"1123242,84"
Galicia,,2013,IMPORT,"14639492,12"
"Madrid, Comunidad de",,2013,IMPORT,"47579316,98"
"Murcia, Región de",,2013,IMPORT,"11912434,82"
"Navarra, Comunidad Foral de",,2013,IMPORT,"3916555,24"
País Vasco,,2013,IMPORT,"15951762,25"
"Rioja, La",,2013,IMPORT,"1067085,89"
Ceuta,,2013,IMPORT,"399260,24"
Melilla,,2013,IMPORT,"248261,10"
No determinado,,2013,IMPORT,"2282167,88"
Andalucía,,2014,EXPORT,"26649647,24"
Aragón,,2014,EXPORT,"9382350,24"
"Asturias, Principado de",,2014,EXPORT,"3838357,85"
"Balears, Illes",,2014,EXPORT,"924033,64"
Canarias,,2014,EXPORT,"2392544,30"
Cantabria,,2014,EXPORT,"2546456,31"
Castilla y León,,2014,EXPORT,"12751882,38"
Castilla-La Mancha,,2014,EXPORT,"5398869,74"
Cataluña,,2014,EXPORT,"60291197,30"
Comunitat Valenciana,,2014,EXPORT,"25001065,73"
Extremadura,,2014,EXPORT,"1673742,66"
Galicia,,2014,EXPORT,"17809745,80"
"Madrid, Comunidad de",,2014,EXPORT,"27731362,08"
"Murcia, Región de",,2014,EXPORT,"10440709,34"
"Navarra, Comunidad Foral de",,2014,EXPORT,"8141092,16"
País Vasco,,2014,EXPORT,"22501045,49"
"Rioja, La",,2014,EXPORT,"1644356,14"
Ceuta,,2014,EXPORT,"7898,78"
Melilla,,2014,EXPORT,"30042,31"
No determinado,,2014,EXPORT,"1425430,74"
Andalucía,,2014,IMPORT,"30957911,53"
Aragón,,2014,IMPORT,"8552928,58"
"Asturias, Principado de",,2014,IMPORT,"3342043,94"
"Balears, Illes",,2014,IMPORT,"1455041,74"
Canarias,,2014,IMPORT,"3555991,68"
Cantabria,,2014,IMPORT,"1861308,64"
Castilla y León,,2014,IMPORT,"12243969,38"
Castilla-La Mancha,,2014,IMPORT,"5974237,80"
Cataluña,,2014,IMPORT,"72220520,85"
Comunitat Valenciana,,2014,IMPORT,"21372933,86"
Extremadura,,2014,IMPORT,"980445,50"
Galicia,,2014,IMPORT,"14413310,93"
"Madrid, Comunidad de",,2014,IMPORT,"50863559,91"
"Murcia, Región de",,2014,IMPORT,"11959830,34"
"Navarra, Comunidad Foral de",,2014,IMPORT,"4162712,85"
País Vasco,,2014,IMPORT,"17131421,83"
"Rioja, La",,2014,IMPORT,"1154438,65"
Ceuta,,2014,IMPORT,"380001,72"
Melilla,,2014,IMPORT,"262067,87"
No determinado,,2014,IMPORT,"2711929,28"
Andalucía,,2015,EXPORT,"24930489,63"
Aragón,,2015,EXPORT,"10571049,75"
"Asturias, Principado de",,2015,EXPORT,"3790972,89"
"Balears, Illes",,2015,EXPORT,"1157188,83"
Canarias,,2015,EXPORT,"2452580,06"
Cantabria,,2015,EXPORT,"2342121,33"
Castilla y León,,2015,EXPORT,"14881450,22"
Castilla-La Mancha,,2015,EXPORT,"6013480,15"
Cataluña,,2015,EXPORT,"63885160,86"
Comunitat Valenciana,,2015,EXPORT,"28219623,82"
Extremadura,,2015,EXPORT,"1720432,32"
Galicia,,2015,EXPORT,"18924031,28"
"Madrid, Comunidad de",,2015,EXPORT,"27775801,69"
"Murcia, Región de",,2015,EXPORT,"9379162,97"
"Navarra, Comunidad Foral de",,2015,EXPORT,"8539726,54"
País Vasco,,2015,EXPORT,"21865502,37"
"Rioja, La",,2015,EXPORT,"1699992,24"
Ceuta,,2015,EXPORT,"6864,66"
Melilla,,2015,EXPORT,"43024,85"
No determinado,,2015,EXPORT,"1595759,21"
Andalucía,,2015,IMPORT,"26534418,79"
Aragón,,2015,IMPORT,"10270747,98"
"Asturias, Principado de",,2015,IMPORT,"3226113,76"
"Balears, Illes",,2015,IMPORT,"1568997,59"
Canarias,,2015,IMPORT,"2991511,86"
Cantabria,,2015,IMPORT,"1980214,00"
Castilla y León,,2015,IMPORT,"12478074,78"
Castilla-La Mancha,,2015,IMPORT,"6633761,90"
Cataluña,,2015,IMPORT,"76177776,65"
Comunitat Valenciana,,2015,IMPORT,"23682591,05"
Extremadura,,2015,IMPORT,"1055662,03"
Galicia,,2015,IMPORT,"15108545,65"
"Madrid, Comunidad de",,2015,IMPORT,"57719988,41"
"Murcia, Región de",,2015,IMPORT,"8965056,89"
"Navarra, Comunidad Foral de",,2015,IMPORT,"4578203,80"
País Vasco,,2015,IMPORT,"16818805,02"
"Rioja, La",,2015,IMPORT,"1212972,73"
Ceuta,,2015,IMPORT,"320165,37"
Melilla,,2015,IMPORT,"281387,77"
No determinado,,2015,IMPORT,"3167334,17"
Andalucía,,2016,EXPORT,"26823152,89"
Aragón,,2016,EXPORT,"10895092,26"
"Asturias, Principado de",,2016,EXPORT,"3510749,66"
"Balears, Illes",,2016,EXPORT,"1167155,42"
Canarias,,2016,EXPORT,"2061813,92"
Cantabria,,2016,EXPORT,"2345196,33"
Castilla y León,,2016,EXPORT,"16329159,84"
Castilla-La Mancha,,2016,EXPORT,"6426200,88"
Cataluña,,2016,EXPORT,"65142104,93"
Comunitat Valenciana,,2016,EXPORT,"28665508,31"
Extremadura,,2016,EXPORT,"1689249,58"
Galicia,,2016,EXPORT,"19981258,17"
"Madrid, Comunidad de",,2016,EXPORT,"28759669,33"
"Murcia, Región de",,2016,EXPORT,"9026232,67"
"Navarra, Comunidad Foral de",,2016,EXPORT,"8437213,66"
País Vasco,,2016,EXPORT,"21615366,83"
"Rioja, La",,2016,EXPORT,"1704420,36"
Ceuta,,2016,EXPORT,"3092,64"
Melilla,,2016,EXPORT,"48302,99"
No determinado,,2016,EXPORT,"1762439,41"
Andalucía,,2016,IMPORT,"24282037,01"
Aragón,,2016,IMPORT,"10407366,23"
"Asturias, Principado de",,2016,IMPORT,"3087610,36"
"Balears, Illes",,2016,IMPORT,"1417366,64"
Canarias,,2016,IMPORT,"3391931,27"
Cantabria,,2016,IMPORT,"1793682,30"
Castilla y León,,2016,IMPORT,"12703581,89"
Castilla-La Mancha,,2016,IMPORT,"7467873,39"
Cataluña,,2016,IMPORT,"77627131,30"
Comunitat Valenciana,,2016,IMPORT,"23884728,97"
Extremadura,,2016,IMPORT,"1077191,68"
Galicia,,2016,IMPORT,"15508539,33"
"Madrid, Comunidad de",,2016,IMPORT,"58363026,25"
"Murcia, Región de",,2016,IMPORT,"8024808,01"
"Navarra, Comunidad Foral de",,2016,IMPORT,"4542301,17"
País Vasco,,2016,IMPORT,"15583395,00"
"Rioja, La",,2016,IMPORT,"1245586,08"
Ceuta,,2016,IMPORT,"314477,87"
Melilla,,2016,IMPORT,"292215,67"
No determinado,,2016,IMPORT,"2763748,97"
Andalucía,,2017,EXPORT,"30506661,76"
Aragón,,2017,EXPORT,"11800573,47"
"Asturias, Principado de",,2017,EXPORT,"4604025,57"
"Balears, Illes",,2017,EXPORT,"1854817,27"
Canarias,,2017,EXPORT,"2662815,52"
Cantabria,,2017,EXPORT,"2419910,73"
Castilla y León,,2017,EXPORT,"15512466,19"
Castilla-La Mancha,,2017,EXPORT,"7073152,86"
Cataluña,,2017,EXPORT,"69646791,69"
Comunitat Valenciana,,2017,EXPORT,"29525249,78"
Extremadura,,2017,EXPORT,"1941913,82"
Galicia,,2017,EXPORT,"21798363,92"
"Madrid, Comunidad de",,2017,EXPORT,"30000501,18"
"Murcia, Región de",,2017,EXPORT,"10538045,41"
"Navarra, Comunidad Foral de",,2017,EXPORT,"8105915,32"
País Vasco,,2017,EXPORT,"24108526,06"
"Rioja, La",,2017,EXPORT,"1848064,03"
Ceuta,,2017,EXPORT,"20768,13"
Melilla,,2017,EXPORT,"49653,89"
No determinado,,2017,EXPORT,"2124689,95"
Andalucía,,2017,IMPORT,"29059897,59"
Aragón,,2017,IMPORT,"10909512,02"
"Asturias, Principado de",,2017,IMPORT,"4201535,04"
"Balears, Illes",,2017,IMPORT,"1785777,64"
Canarias,,2017,IMPORT,"4303865,36"
Cantabria,,2017,IMPORT,"1967147,12"
Castilla y León,,2017,IMPORT,"13445777,31"
Castilla-La Mancha,,2017,IMPORT,"8501622,34"
Cataluña,,2017,IMPORT,"84606170,48"
Comunitat Valenciana,,2017,IMPORT,"26119460,55"
Extremadura,,2017,IMPORT,"1203275,48"
Galicia,,2017,IMPORT,"17199724,22"
"Madrid, Comunidad de",,2017,IMPORT,"60861834,24"
"Murcia, Región de",,2017,IMPORT,"9636972,79"
"Navarra, Comunidad Foral de",,2017,IMPORT,"4469226,68"
País Vasco,,2017,IMPORT,"18695108,37"
"Rioja, La",,2017,IMPORT,"1357603,93"
Ceuta,,2017,IMPORT,"305130,79"
Melilla,,2017,IMPORT,"238025,79"
No determinado,,2017,IMPORT,"3563490,71"
Andalucía,,2018,EXPORT,"32439282,72"
Aragón,,2018,EXPORT,"11915694,35"
"Asturias, Principado de",,2018,EXPORT,"4315491,08"
"Balears, Illes",,2018,EXPORT,"1957410,04"
Canarias,,2018,EXPORT,"2782780,36"
Cantabria,,2018,EXPORT,"2580087,60"
Castilla y León,,2018,EXPORT,"15264125,40"
Castilla-La Mancha,,2018,EXPORT,"7296899,25"
Cataluña,,2018,EXPORT,"71623809,91"
Comunitat Valenciana,,2018,EXPORT,"30324356,30"
Extremadura,,2018,EXPORT,"2010275,68"
Galicia,,2018,EXPORT,"22857444,27"
"Madrid, Comunidad de",,2018,EXPORT,"30174417,99"
"Murcia, Región de",,2018,EXPORT,"10747306,47"
"Navarra, Comunidad Foral de",,2018,EXPORT,"9095235,65"
País Vasco,,2018,EXPORT,"25472703,76"
"Rioja, La",,2018,EXPORT,"1853395,82"
Ceuta,,2018,EXPORT,"12539,80"
Melilla,,2018,EXPORT,"27256,74"
No determinado,,2018,EXPORT,"2273409,21"
Andalucía,,2018,IMPORT,"32518849,54"
Aragón,,2018,IMPORT,"11760274,73"
"Asturias, Principado de",,2018,IMPORT,"4431773,87"
"Balears, Illes",,2018,IMPORT,"1766407,90"
Canarias,,2018,IMPORT,"3964476,13"
Cantabria,,2018,IMPORT,"2097311,75"
Castilla y León,,2018,IMPORT,"13174914,97"
Castilla-La Mancha,,2018,IMPORT,"9223430,08"
Cataluña,,2018,IMPORT,"90178016,57"
Comunitat Valenciana,,2018,IMPORT,"27464527,95"
Extremadura,,2018,IMPORT,"1285614,40"
Galicia,,2018,IMPORT,"19021971,61"
"Madrid, Comunidad de",,2018,IMPORT,"61508259,25"
"Murcia, Región de",,2018,IMPORT,"10822203,15"
"Navarra, Comunidad Foral de",,2018,IMPORT,"4843396,01"
País Vasco,,2018,IMPORT,"20284714,19"
"Rioja, La",,2018,IMPORT,"1438289,61"
Ceuta,,2018,IMPORT,"220687,42"
Melilla,,2018,IMPORT,"121877,44"
No determinado,,2018,IMPORT,"2736936,20"
Andalucía,,2019,EXPORT,"21832546,23"
Aragón,,2019,EXPORT,"8796201,99"
"Asturias, Principado de",,2019,EXPORT,"3324187,70"
"Balears, Illes",,2019,EXPORT,"1073051,97"
Canarias,,2019,EXPORT,"1790787,29"
Cantabria,,2019,EXPORT,"1823096,97"
Castilla y León,,2019,EXPORT,"9416480,35"
Castilla-La Mancha,,2019,EXPORT,"4871784,91"
Cataluña,,2019,EXPORT,"48996510,60"
Comunitat Valenciana,,2019,EXPORT,"20777712,45"
Extremadura,,2019,EXPORT,"1427600,06"
Galicia,,2019,EXPORT,"14041156,30"
"Madrid, Comunidad de",,2019,EXPORT,"20558018,56"
"Murcia, Región de",,2019,EXPORT,"7245468,82"
"Navarra, Comunidad Foral de",,2019,EXPORT,"6615119,78"
País Vasco,,2019,EXPORT,"16734611,44"
"Rioja, La",,2019,EXPORT,"1263846,10"
Ceuta,,2019,EXPORT,"5060,92"
Melilla,,2019,EXPORT,"12598,38"
No determinado,,2019,EXPORT,"1525380,47"
Andalucía,,2019,IMPORT,"19992053,43"
Aragón,,2019,IMPORT,"7540510,88"
"Asturias, Principado de",,2019,IMPORT,"2744854,27"
"Balears, Illes",,2019,IMPORT,"1119651,39"
Canarias,,2019,IMPORT,"2317586,43"
Cantabria,,2019,IMPORT,"1435807,25"
Castilla y León,,2019,IMPORT,"8071144,37"
Castilla-La Mancha,,2019,IMPORT,"5763187,53"
Cataluña,,2019,IMPORT,"62368708,45"
Comunitat Valenciana,,2019,IMPORT,"19049688,37"
Extremadura,,2019,IMPORT,"882524,70"
Galicia,,2019,IMPORT,"12888265,39"
"Madrid, Comunidad de",,2019,IMPORT,"41705273,97"
"Murcia, Región de",,2019,IMPORT,"7523889,95"
"Navarra, Comunidad Foral de",,2019,IMPORT,"3482517,89"
País Vasco,,2019,IMPORT,"13516062,81"
"Rioja, La",,2019,IMPORT,"961037,48"
Ceuta,,2019,IMPORT,"170853,32"
Melilla,,2019,IMPORT,"69188,96"
No determinado,,2019,IMPORT,"1711576,38"
