Region;Year;LastUpdateDate;id;PersEmplIDTotal;PersEmplIDTotalMuj;PersEmplIDTotalEmp;PersEmplIDTotalEmpMuj;PersEmplIDTotalAdPub;PersEmplIDTotalAdPubMuj;PersEmpIDTotalEnsSup;PersEmpIDTotalEnsSupMuj;InvIDTotal;InvIDTotalMuj;InvIDTotalEmp;InvIDTotalEmpMuj;InvIDTotalAdPub;InvIDTotalAdPubMuj;InvIDTotalEnsSup;InvIDTotalEnsSupMuj
Ceuta;2016;2019-08-07;Ceuta2016;-2;-2;-2;-2;256.7;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Melilla;2016;2019-08-07;Melilla2016;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Total;2017;2019-08-07;Nacional2017;215744.5;86353.9;95667.3;29916.3;-2;20928.2;79285.5;35239.2;133213.2;51657.2;49571.0;15510.4;20844.3;9979.9;62541.9;26032.1
Andalucía;2017;2019-08-07;Andalucía2017;24442.3;9885.7;7675.8;2267.6;40282.9;2629.8;11383.5;4975.6;13919.1;5431.7;3333.1;991.3;2349.8;1059.4;8223.9;3374.3
Aragón;2017;2019-08-07;Aragón2017;5745.7;2272.6;2433.9;676.1;5319.7;582.8;2106.3;1012.1;3891.3;1598.9;1297.4;405.7;646.6;280.2;1944.5;911.7
Asturias, Principado de;2017;2019-08-07;Asturias2017;3264.0;1273.1;1310.4;408.8;1202.4;259.9;1443.5;603.7;2224.5;875.3;789.4;251.6;209.8;116.3;1223.4;507.3
Balears, Illes;2017;2019-08-07;Balears2017;2203.9;969.4;377.6;84.5;506.8;279.2;1319.7;604.6;1666.1;778.2;150.3;44.0;342.9;194.3;1168.1;539.0
Canarias;2017;2019-08-07;Canarias2017;3360.2;1327.9;577.8;169.5;499.8;423.6;1688.3;733.2;2324.4;898.5;304.8;96.5;565.0;197.7;1453.4;603.9
Cantabria;2017;2019-08-07;Cantabria2017;1723.2;746.9;598.2;181.3;1090.5;220.2;721.8;333.2;1082.2;458.6;308.3;97.7;226.0;125.3;542.7;233.7
Castilla y León;2017;2019-08-07;Castilla y León2017;9478.8;3910.6;3839.7;1124.7;371.1;506.8;4684.6;2269.9;6191.2;2588.5;1830.4;550.2;437.2;205.7;3918.8;1829.0
Castilla - La Mancha;2017;2019-08-07;Castilla - La Mancha2017;3131.9;1232.6;1499.2;518.3;942.1;226.0;1141.0;481.7;1747.5;703.5;676.0;254.5;295.6;131.2;773.6;317.7
Cataluña;2017;2019-08-07;Cataluña2017;48552.4;20385.1;23363.8;7788.2;481.6;5400.2;14914.8;7103.8;28921.7;11404.8;11838.2;3820.7;5784.0;2705.9;11193.9;4830.3
Comunitat Valenciana;2017;2019-08-07;Valencia2017;19128.9;7681.0;7487.4;2236.7;10100.1;1273.2;9393.2;4167.3;11825.1;4569.6;3647.7;1084.3;1261.5;671.2;6911.5;2812.3
Extremadura;2017;2019-08-07;Extremadura2017;2041.1;782.4;524.9;145.8;2240.9;229.6;-2;-2;1340.9;509.8;251.9;69.6;190.4;88.6;-2;-2
Galicia;2017;2019-08-07;Galicia2017;10265.6;4104.8;4618.3;1267.0;487.7;902.1;4131.7;1914.1;6127.5;2413.8;2368.9;703.8;786.7;432.8;2943.1;1258.9
Madrid, Comunidad de;2017;2019-08-07;Madrid2017;51634.2;20299.9;22915.7;7540.9;1483.5;6657.4;15543.9;6013.7;31673.5;11852.3;12191.8;3963.8;6386.4;3152.9;13034.0;4695.0
Murcia, Región de;2017;2019-08-07;Murcia2017;5993.3;2304.2;2126.6;667.3;13044.2;254.5;-2;-2;3898.7;1470.9;883.6;231.3;280.9;120.4;-2;-2
Navarra, Comunidad Foral de;2017;2019-08-07;Navarra2017;4831.2;1864.4;2619.8;747.9;543.7;227.0;-2;-2;3050.7;1178.1;1284.5;366.2;290.9;121.8;-2;-2
País Vasco;2017;2019-08-07;País Vasco2017;18481.0;6721.3;13056.4;3916.0;447.6;705.0;4154.9;2089.1;12460.2;4527.4;8209.5;2512.2;630.5;279.6;3607.3;1727.1
Rioja, La;2017;2019-08-07;Rioja2017;1403.7;564.0;640.8;175.7;1252.1;150.9;492.9;237.4;805.5;369.1;204.1;66.8;160.1;96.6;440.4;205.7
Ceuta;2017;2019-08-07;Ceuta2017;-2;-2;-2;-2;269.1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Melilla;2017;2019-08-07;Melilla2017;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Total;2018;2019-08-07;Nacional2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Andalucía;2018;2019-08-07;Andalucía2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Aragón;2018;2019-08-07;Aragón2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Asturias, Principado de;2018;2019-08-07;Asturias2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Balears, Illes;2018;2019-08-07;Balears2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Canarias;2018;2019-08-07;Canarias2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cantabria;2018;2019-08-07;Cantabria2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Castilla y León;2018;2019-08-07;Castilla y León2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Castilla - La Mancha;2018;2019-08-07;Castilla - La Mancha2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cataluña;2018;2019-08-07;Cataluña2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Comunitat Valenciana;2018;2019-08-07;Valencia2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Extremadura;2018;2019-08-07;Extremadura2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Galicia;2018;2019-08-07;Galicia2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Madrid, Comunidad de;2018;2019-08-07;Madrid2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Murcia, Región de;2018;2019-08-07;Murcia2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Navarra, Comunidad Foral de;2018;2019-08-07;Navarra2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
País Vasco;2018;2019-08-07;País Vasco2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Rioja, La;2018;2019-08-07;Rioja2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Ceuta;2018;2019-08-07;Ceuta2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Melilla;2018;2019-08-07;Melilla2018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
TOTAL;2011;2019-08-07;Nacional2011;1504219.0;24299.2;15346.2;537884.0;6624.1;3915.6
Andalucía;2011;2019-08-07;Andalucía2011;157364.0;2421.3;1569.3;52181.0;760.6;398.3
Aragón;2011;2019-08-07;Aragón2011;22241.0;416.0;289.1;10007.0;136.7;98.8
Asturias, Principado de;2011;2019-08-07;Asturias2011;15196.0;246.0;132.4;4972.0;51.8;39.2
Balears, Illes;2011;2019-08-07;Balears2011;17208.0;254.7;192.0;2499.0;38.2;27.4
Canarias;2011;2019-08-07;Canarias2011;26625.0;567.3;492.3;3937.0;62.0;47.1
Cantabria;2011;2019-08-07;Cantabria2011;10303.0;173.3;121.7;-2;-2;-2
Castilla y León;2011;2019-08-07;Castilla y León2011;53205.0;990.4;698.7;16614.0;267.3;139.0
Castilla - La Mancha;2011;2019-08-07;Castilla - La Mancha2011;11887.0;210.0;146.6;2556.0;55.2;30.6
Cataluña;2011;2019-08-07;Cataluña2011;429762.0;6420.8;4240.9;154785.0;1941.1;1069.9
Comunitat Valenciana;2011;2019-08-07;Valencia2011;124007.0;2174.0;1496.7;29440.0;436.7;253.6
Extremadura;2011;2019-08-07;Extremadura2011;6876.0;111.6;66.3;-2;-2;-2
Galicia;2011;2019-08-07;Galicia2011;46282.0;999.2;601.0;15899.0;220.6;113.3
Madrid, Comunidad de;2011;2019-08-07;Madrid2011;419573.0;6579.4;3334.9;159422.0;1566.3;1020.8
Murcia, Región de;2011;2019-08-07;Murcia2011;37179.0;930.5;679.8;4909.0;131.5;61.3
Navarra, Comunidad Foral de;2011;2019-08-07;Navarra2011;34137.0;555.1;365.6;11140.0;148.1;103.9
País Vasco;2011;2019-08-07;País Vasco2011;86670.0;1160.0;858.0;62106.0;711.0;462.4
Rioja, La;2011;2019-08-07;Rioja2011;5706.0;89.4;60.8;2383.0;32.8;15.2
Ceuta;2011;2019-08-07;Ceuta2011;-2;-2;-2;-2;-2;-2
Melilla;2011;2019-08-07;Melilla2011;-2;-2;-2;-2;-2;-2
TOTAL;2012;2019-08-07;Nacional2012;1455171.0;24121.0;15566.0;523344.0;6543.3;4044.4
Andalucía;2012;2019-08-07;Andalucía2012;153376.0;2509.3;1628.8;52209.0;769.0;430.8
Aragón;2012;2019-08-07;Aragón2012;29424.0;447.6;313.9;11197.0;164.3;115.7
Asturias, Principado de;2012;2019-08-07;Asturias2012;14401.0;272.1;156.4;5000.0;62.0;39.3
Balears, Illes;2012;2019-08-07;Balears2012;17780.0;270.8;194.3;2904.0;36.2;26.2
Canarias;2012;2019-08-07;Canarias2012;23570.0;520.0;459.6;2679.0;49.5;38.0
Cantabria;2012;2019-08-07;Cantabria2012;9018.0;171.5;121.8;-2;-2;-2
Castilla y León;2012;2019-08-07;Castilla y León2012;49741.0;946.9;713.2;15434.0;238.5;138.1
Castilla - La Mancha;2012;2019-08-07;Castilla - La Mancha2012;9410.0;173.8;128.7;1569.0;34.4;21.3
Cataluña;2012;2019-08-07;Cataluña2012;429228.0;6551.0;4422.2;155131.0;1830.2;1099.0
Comunitat Valenciana;2012;2019-08-07;Valencia2012;114281.0;1916.7;1337.9;27255.0;435.3;246.5
Extremadura;2012;2019-08-07;Extremadura2012;6288.0;101.7;64.9;2554.0;24.8;14.0
Galicia;2012;2019-08-07;Galicia2012;47875.0;1004.8;588.4;14770.0;227.3;97.8
Madrid, Comunidad de;2012;2019-08-07;Madrid2012;386879.0;6421.2;3353.8;145875.0;1531.1;1045.3
Murcia, Región de;2012;2019-08-07;Murcia2012;31356.0;826.0;638.7;5576.0;125.2;46.8
Navarra, Comunidad Foral de;2012;2019-08-07;Navarra2012;37937.0;545.2;348.1;14733.0;179.7;120.6
País Vasco;2012;2019-08-07;País Vasco2012;87805.0;1269.9;970.1;62810.0;776.6;531.2
Rioja, La;2012;2019-08-07;Rioja2012;6801.0;172.8;124.9;-2;-2;-2
Ceuta;2012;2019-08-07;Ceuta2012;-2;-2;-2;-2;-2;-2
Melilla;2012;2019-08-07;Melilla2012;-2;-2;-2;-2;-2;-2
TOTAL;2013;2019-08-07;Nacional2013;1429691.0;23186.2;14749.5;514529.0;6573.9;3873.7
Andalucía;2013;2019-08-07;Andalucía2013;164907.0;2492.5;1486.9;68033.0;903.2;493.9
Aragón;2013;2019-08-07;Aragón2013;23311.0;428.0;318.7;11829.0;154.1;123.8
Asturias, Principado de;2013;2019-08-07;Asturias2013;16469.0;330.2;200.7;5772.0;108.4;69.8
Balears, Illes;2013;2019-08-07;Balears2013;18655.0;275.3;202.9;2463.0;34.3;29.8
Canarias;2013;2019-08-07;Canarias2013;18014.0;403.8;330.6;2573.0;53.0;32.3
Cantabria;2013;2019-08-07;Cantabria2013;8141.0;162.7;121.2;1952.0;18.4;13.6
Castilla y León;2013;2019-08-07;Castilla y León2013;44169.0;873.6;631.3;14887.0;236.2;124.9
Castilla - La Mancha;2013;2019-08-07;Castilla - La Mancha2013;9178.0;137.6;93.7;1530.0;28.8;17.9
Cataluña;2013;2019-08-07;Cataluña2013;418872.0;6162.0;4179.3;146971.0;1608.1;926.1
Comunitat Valenciana;2013;2019-08-07;Valencia2013;123775.0;1986.3;1348.1;33482.0;477.0;243.7
Extremadura;2013;2019-08-07;Extremadura2013;4280.0;86.9;51.2;1597.0;22.2;12.7
Galicia;2013;2019-08-07;Galicia2013;62713.0;1268.7;818.4;17381.0;255.2;129.9
Madrid, Comunidad de;2013;2019-08-07;Madrid2013;361742.0;5891.5;2988.5;132551.0;1619.4;975.0
Murcia, Región de;2013;2019-08-07;Murcia2013;29089.0;792.5;603.4;5051.0;111.8;44.6
Navarra, Comunidad Foral de;2013;2019-08-07;Navarra2013;31963.0;459.5;283.8;10125.0;131.3;80.6
País Vasco;2013;2019-08-07;País Vasco2013;86506.0;1262.6;967.8;55748.0;764.7;534.6
Rioja, La;2013;2019-08-07;Rioja2013;7908.0;172.5;123.0;2587.0;47.8;20.5
Ceuta;2013;2019-08-07;Ceuta2013;-2;-2;-2;-2;-2;-2
Melilla;2013;2019-08-07;Melilla2013;-2;-2;-2;-2;-2;-2
TOTAL;2014;2019-08-07;Nacional2014;1450426.0;23664.3;15134.4;533826.0;6828.6;4106.5
Andalucía;2014;2019-08-07;Andalucía2014;168915.0;2697.4;1632.9;68278.0;1020.3;585.3
Aragón;2014;2019-08-07;Aragón2014;23260.0;320.3;233.3;16817.0;154.5;125.6
Asturias, Principado de;2014;2019-08-07;Asturias2014;15845.0;298.6;174.9;5418.0;85.0;54.4
Balears, Illes;2014;2019-08-07;Balears2014;14475.0;252.4;194.0;1981.0;33.8;23.0
Canarias;2014;2019-08-07;Canarias2014;14546.0;291.1;223.4;3174.0;54.3;38.8
Cantabria;2014;2019-08-07;Cantabria2014;8734.0;198.6;139.2;-2;-2;-2
Castilla y León;2014;2019-08-07;Castilla y León2014;46621.0;934.6;668.5;15532.0;231.9;131.5
Castilla - La Mancha;2014;2019-08-07;Castilla - La Mancha2014;9018.0;193.7;101.0;1677.0;36.8;20.4
Cataluña;2014;2019-08-07;Cataluña2014;416360.0;6242.8;4230.8;149440.0;1706.6;994.6
Comunitat Valenciana;2014;2019-08-07;Valencia2014;127280.0;1996.9;1360.3;33674.0;535.7;289.4
Extremadura;2014;2019-08-07;Extremadura2014;3022.0;48.7;29.7;-2;-2;-2
Galicia;2014;2019-08-07;Galicia2014;64612.0;1266.6;785.9;17592.0;259.0;128.4
Madrid, Comunidad de;2014;2019-08-07;Madrid2014;383000.0;6324.8;3534.3;140765.0;1610.7;1034.9
Murcia, Región de;2014;2019-08-07;Murcia2014;29591.0;736.9;524.3;6290.0;107.1;46.1
Navarra, Comunidad Foral de;2014;2019-08-07;Navarra2014;31690.0;498.9;272.7;11926.0;187.3;86.6
País Vasco;2014;2019-08-07;País Vasco2014;85862.0;1192.4;916.4;55515.0;717.1;502.3
Rioja, La;2014;2019-08-07;Rioja2014;7597.0;169.6;112.9;2228.0;48.0;18.3
Ceuta;2014;2019-08-07;Ceuta2014;-2;-2;-2;-2;-2;-2
Melilla;2014;2019-08-07;Melilla2014;-2;-2;-2;-2;-2;-2
TOTAL;2015;2019-08-07;Nacional2015;1540444.0;24280.0;15072.0;578171.0;7191.4;4276.6
Andalucía;2015;2019-08-07;Andalucía2015;184077.0;2957.8;1824.7;71255.0;1023.3;602.1
Aragón;2015;2019-08-07;Aragón2015;26042.0;424.6;319.4;15299.0;143.5;105.2
Asturias, Principado de;2015;2019-08-07;Asturias2015;15739.0;316.3;192.5;4653.0;73.7;52.1
Balears, Illes;2015;2019-08-07;Balears2015;15247.0;245.9;196.9;2882.0;40.5;25.7
Canarias;2015;2019-08-07;Canarias2015;12259.0;259.4;185.8;2346.0;49.9;40.1
Cantabria;2015;2019-08-07;Cantabria2015;8317.0;206.8;165.7;-2;-2;-2
Castilla y León;2015;2019-08-07;Castilla y León2015;49405.0;949.7;662.7;15943.0;253.3;137.4
Castilla - La Mancha;2015;2019-08-07;Castilla - La Mancha2015;12782.0;223.4;133.9;1902.0;35.7;22.7
Cataluña;2015;2019-08-07;Cataluña2015;454676.0;6562.8;4349.1;187969.0;2008.1;1198.6
Comunitat Valenciana;2015;2019-08-07;Valencia2015;124925.0;1891.4;1259.6;34029.0;544.3;300.9
Extremadura;2015;2019-08-07;Extremadura2015;2658.0;70.0;38.7;1343.0;36.5;13.2
Galicia;2015;2019-08-07;Galicia2015;72662.0;1289.8;793.4;20871.0;308.5;162.4
Madrid, Comunidad de;2015;2019-08-07;Madrid2015;401935.0;6214.5;3079.0;136421.0;1472.9;885.9
Murcia, Región de;2015;2019-08-07;Murcia2015;34702.0;827.7;570.1;9474.0;158.3;75.5
Navarra, Comunidad Foral de;2015;2019-08-07;Navarra2015;30004.0;451.4;265.9;-2;-2;-2
País Vasco;2015;2019-08-07;País Vasco2015;86936.0;1250.9;940.6;56930.0;772.7;519.2
Rioja, La;2015;2019-08-07;Rioja2015;8079.0;137.4;94.4;1684.0;37.1;17.4
Ceuta;2015;2019-08-07;Ceuta2015;-2;-2;-2;-2;-2;-2
Melilla;2015;2019-08-07;Melilla2015;-2;-2;-2;-2;-2;-2
TOTAL;2016;2019-08-07;Nacional2016;1579928.0;24830.0;15765.0;616053.0;7716.4;4603.1
Andalucía;2016;2019-08-07;Andalucía2016;181311.0;2935.6;1660.5;69345.0;878.3;489.5
Aragón;2016;2019-08-07;Aragón2016;27146.0;473.0;349.8;14394.0;183.6;132.1
Asturias, Principado de;2016;2019-08-07;Asturias2016;15653.0;323.3;201.4;6045.0;110.1;77.8
Balears, Illes;2016;2019-08-07;Balears2016;15619.0;297.6;228.1;4629.0;61.5;45.3
Canarias;2016;2019-08-07;Canarias2016;12685.0;268.2;185.7;2296.0;50.3;35.2
Cantabria;2016;2019-08-07;Cantabria2016;7368.0;170.6;112.0;-2;-2;-2
Castilla y León;2016;2019-08-07;Castilla y León2016;53234.0;1053.1;738.6;18153.0;308.6;168.9
Castilla - La Mancha;2016;2019-08-07;Castilla - La Mancha2016;13986.0;248.9;136.7;3334.0;58.2;31.1
Cataluña;2016;2019-08-07;Cataluña2016;473791.0;6861.8;4607.7;201689.0;2283.6;1342.4
Comunitat Valenciana;2016;2019-08-07;Valencia2016;129565.0;1951.1;1272.7;42860.0;650.7;340.9
Extremadura;2016;2019-08-07;Extremadura2016;2451.0;67.4;42.3;1230.0;25.6;17.0
Galicia;2016;2019-08-07;Galicia2016;74272.0;1438.5;959.6;16513.0;227.8;117.2
Madrid, Comunidad de;2016;2019-08-07;Madrid2016;412085.0;6033.7;3425.3;142894.0;1546.0;985.2
Murcia, Región de;2016;2019-08-07;Murcia2016;31237.0;776.9;483.4;11659.0;214.7;78.9
Navarra, Comunidad Foral de;2016;2019-08-07;Navarra2016;33890.0;511.1;291.2;17338.0;243.4;131.5
País Vasco;2016;2019-08-07;País Vasco2016;88339.0;1294.1;989.9;59286.0;805.3;576.0
Rioja, La;2016;2019-08-07;Rioja2016;7297.0;125.1;80.2;-2;-2;-2
Ceuta;2016;2019-08-07;Ceuta2016;-2;-2;-2;-2;-2;-2
Melilla;2016;2019-08-07;Melilla2016;-2;-2;-2;-2;-2;-2
TOTAL;2017;2019-08-07;Nacional2017;1693773.0;26692.0;16693.0;679558.0;7750.8;4518.1
Andalucía;2017;2019-08-07;Andalucía2017;174582.0;2879.6;1600.9;71987.0;990.4;468.3
Aragón;2017;2019-08-07;Aragón2017;27104.0;548.0;419.8;13296.0;188.8;127.9
Asturias, Principado de;2017;2019-08-07;Asturias2017;16835.0;396.3;215.7;5114.0;105.0;76.2
Balears, Illes;2017;2019-08-07;Balears2017;17329.0;329.1;256.5;-2;-2;-2
Canarias;2017;2019-08-07;Canarias2017;14449.0;298.3;201.4;2246.0;39.2;23.7
Cantabria;2017;2019-08-07;Cantabria2017;6091.0;168.9;115.3;-2;-2;-2
Castilla y León;2017;2019-08-07;Castilla y León2017;54218.0;1076.9;806.0;18481.0;257.3;158.3
Castilla - La Mancha;2017;2019-08-07;Castilla - La Mancha2017;15056.0;250.7;149.0;3355.0;60.9;35.8
Cataluña;2017;2019-08-07;Cataluña2017;478217.0;7200.6;4657.9;184649.0;2255.3;1145.0
Comunitat Valenciana;2017;2019-08-07;Valencia2017;136543.0;2109.0;1383.8;49247.0;727.9;359.2
Extremadura;2017;2019-08-07;Extremadura2017;2286.0;50.4;32.3;985.0;13.6;11.5
Galicia;2017;2019-08-07;Galicia2017;83910.0;1546.2;1064.7;18425.0;261.6;188.1
Madrid, Comunidad de;2017;2019-08-07;Madrid2017;498321.0;7151.7;3888.1;210695.0;1564.1;1066.6
Murcia, Región de;2017;2019-08-07;Murcia2017;29842.0;732.4;482.9;9352.0;146.7;66.2
Navarra, Comunidad Foral de;2017;2019-08-07;Navarra2017;44517.0;498.4;294.7;-2;-2;-2
País Vasco;2017;2019-08-07;País Vasco2017;87112.0;1325.4;1036.1;56954.0;813.1;587.1
Rioja, La;2017;2019-08-07;Rioja2017;7361.0;130.3;88.1;-2;-2;-2
Ceuta;2017;2019-08-07;Ceuta2017;-2;-2;-2;-2;-2;-2
Melilla;2017;2019-08-07;Melilla2017;-2;-2;-2;-2;-2;-2
TOTAL;2018;2019-08-07;Nacional2018;-1;-1;-1;-1;-1;-1
Andalucía;2018;2019-08-07;Andalucía2018;-1;-1;-1;-1;-1;-1
Aragón;2018;2019-08-07;Aragón2018;-1;-1;-1;-1;-1;-1
Asturias, Principado de;2018;2019-08-07;Asturias2018;-1;-1;-1;-1;-1;-1
Balears, Illes;2018;2019-08-07;Balears2018;-1;-1;-1;-1;-1;-1
Canarias;2018;2019-08-07;Canarias2018;-1;-1;-1;-1;-1;-1
Cantabria;2018;2019-08-07;Cantabria2018;-1;-1;-1;-1;-1;-1
Castilla y León;2018;2019-08-07;Castilla y León2018;-1;-1;-1;-1;-1;-1
Castilla - La Mancha;2018;2019-08-07;Castilla - La Mancha2018;-1;-1;-1;-1;-1;-1
Cataluña;2018;2019-08-07;Cataluña2018;-1;-1;-1;-1;-1;-1
Comunitat Valenciana;2018;2019-08-07;Valencia2018;-1;-1;-1;-1;-1;-1
Extremadura;2018;2019-08-07;Extremadura2018;-1;-1;-1;-1;-1;-1
Galicia;2018;2019-08-07;Galicia2018;-1;-1;-1;-1;-1;-1
Madrid, Comunidad de;2018;2019-08-07;Madrid2018;-1;-1;-1;-1;-1;-1
Murcia, Región de;2018;2019-08-07;Murcia2018;-1;-1;-1;-1;-1;-1
Navarra, Comunidad Foral de;2018;2019-08-07;Navarra2018;-1;-1;-1;-1;-1;-1
País Vasco;2018;2019-08-07;País Vasco2018;-1;-1;-1;-1;-1;-1
Rioja, La;2018;2019-08-07;Rioja2018;-1;-1;-1;-1;-1;-1
Ceuta;2018;2019-08-07;Ceuta2018;-1;-1;-1;-1;-1;-1
Melilla;2018;2019-08-07;Melilla2018;-1;-1;-1;-1;-1;-1
